english,spanish,english_length,spanish_length
i m greedy .,soy codicioso .,4,3
tom has to have an operation on his back .,tomás se tiene que operar la columna .,10,8
dance as much as you want .,baila cuanto quieras .,7,4
he did it himself .,lo hizo él mismo .,5,5
let s try this cake .,probemos esta tarta .,6,4
the policies are quite clear .,las políticas están bastante claras .,6,6
i don t think it s strange at all .,yo no pienso que eso sea nada extraño .,10,9
tom told me to wait here .,tom me dijo que esperara aquí .,7,7
double click the icon .,haga doble clic en el ícono .,5,7
they liked his message .,a ellos les gustó su mensaje .,5,7
the lake is deep here .,el lago es profundo por aquí .,6,7
my mother is still working in the kitchen .,mi madre sigue trabajando en la cocina .,9,8
tom likes to watch cartoons .,a tom le gusta ver caricaturas .,6,7
he fell in love with his best friend .,se enamoró de su mejor amigo .,9,7
let s dance .,bailemos .,4,2
nonsense . i never said that .,"ahí has desbarrado , yo nunca dije eso .",7,9
someone seems to be at home .,parece que hay alguien en casa .,7,7
"he s not a doctor , but a nurse .","él no es médico , pero es enfermero .",10,9
tom reads three or four books a month .,tom lee tres o cuatro libros al mes .,9,9
tom is a pastry chef .,tom es un chef pastelero .,6,6
i know that tom cheated .,sé que tom hizo trampas .,6,6
we will contact you as soon as we know .,le telefonearemos tan pronto como lo sepamos .,10,8
i need a huge favor .,necesito un favor enorme .,6,5
has tom called yet ?,llamó tom ?,5,3
you don t have enough experience .,usted no tiene suficiente experiencia .,7,6
he sat next to her .,él se sentó junto a ella .,6,7
it wasn t me who insulted you .,no fui yo quien te insultó .,8,7
it was extremely weird .,fue extremadamente extraño .,5,4
it seems like just yesterday that we first met .,pareciera que fuera ayer cuando nos conocimos .,10,8
migration is a basic human right .,la migración es un derecho humano básico .,7,8
they d like that .,eso les gustaría .,5,4
he thought i was my brother .,creía que era mi hermano .,7,6
give him my regards .,salúdalo de mi parte .,5,5
you shouldn t eat anything spicy .,no deberías comer nada picante .,7,6
he will become a good doctor .,él será un buen doctor .,7,6
how s the dog ?,¿ cómo está el perro ?,5,6
this radio is out of order .,este radio está descompuesto .,7,5
he told her that he loved her .,le dijo que la quería .,8,6
i ran out of the house .,salí corriendo de la casa .,7,6
i planned the whole thing myself .,yo planifiqué todo por mí mismo .,7,7
remember that we re all in the same boat .,¡ recordad que estamos todos en el mismo barco !,10,10
i want tom arrested .,quiero que tom sea arrestado .,5,6
parking is prohibited here .,está prohibido estacionar aquí .,5,5
use this one .,utilizad esta .,4,3
i know you re worried about tom .,sé que está preocupado por tom .,8,7
remember that i love you .,recuerda que te amo .,6,5
they were swimming .,ellos nadaban .,4,3
i thought tom wouldn t come .,creí que tom no vendría .,7,6
tom didn t speak french very well .,tom no hablaba francés muy bien .,8,7
it wasn t tom s first time to drive a sports car .,no era la primera vez que tom conducía un deportivo .,13,11
the price includes tax .,el precio incluye impuestos .,5,5
i met your dad yesterday .,ayer conocí a tu padre .,6,6
i see a red car ahead .,veo a un auto rojo adelante .,7,7
he filled the glasses with wine .,llenó las copas de vino .,7,6
there are lots of eggs in that box .,hay muchos huevos en esa caja .,9,7
she looked after my children last night .,anoche ella cuidó de mis hijos .,8,7
he was kind enough to tie my shoelaces .,él fue lo suficientemente amable para atarme los cordones .,9,10
we re here to help .,estamos aquí para ayudar .,6,5
i m not going back .,no voy a volver .,6,5
there s almost no furniture .,casi no hay muebles .,6,5
tom threw his line in and waited for the fish to bite .,tom lanzó su caña y esperó a que piquen los peces .,13,12
he will never visit the town again .,él no volverá a visitar la ciudad otra vez .,8,10
tom slept for only three hours .,tom durmió tan sólo tres horas .,7,7
something smells good .,algo huele bien .,4,4
i m busy with writing letters and giving speeches .,estoy ocupado escribiendo cartas y pronunciando discursos .,10,8
what are you trying to hide ?,¿ qué estáis intentando esconder ?,7,6
how often do you drink ?,¿ con qué frecuencia bebes ?,6,6
somebody is following me .,alguien me está siguiendo .,5,5
smoking is forbidden here .,aquí está prohibido fumar .,5,5
tom shut the door quietly .,tomás cerró la puerta despacio .,6,6
nothing is an accident .,nada es un accidente .,5,5
apples are sold by the dozen .,las manzanas se venden por docenas .,7,7
he was scared when the monkey jumped at him .,él se asustó cuando el mono le saltó encima .,10,10
they were swimming .,ellas estaban nadando .,4,4
tom will know where to go .,tom sabrá hacia dónde ir .,7,6
i think he is a doctor .,pienso que es médico .,7,5
tom is moving back in with us .,tom se mudará de vuelta con nosotros .,8,8
jackson could not trust them .,jackson no podía confiar en ellos .,6,7
i guess we could .,supongo que podemos .,5,4
i ll give it a whirl .,probaré la suerte con ello .,7,6
our plane was flying above the clouds .,nuestro avión volaba por sobre las nubes .,8,8
be punctual .,sé puntual .,3,3
she was happy with the new dress .,ella estaba feliz con el vestido nuevo .,8,8
tom has a severe headache .,tom tiene un severo dolor de cabeza .,6,8
she was aching all over .,a ella le dolía todo el cuerpo .,6,8
we had our house painted .,hicimos pintar nuestra casa .,6,5
don t think you saved my life .,no pienses que me has salvado la vida .,8,9
is lunch included in this price ?,¿ el almuerzo va incluido en este precio ?,7,9
he has a habit of scratching his back and biting his nails .,él tiene la costumbre de rascarse la espalda y comerse las uñas .,13,13
there s nowhere to hide .,no hay donde esconderse .,6,5
"tom could have come yesterday , but he didn t .","tom podía haber venido ayer , pero no lo hizo .",11,11
"i m here for you , tom .","estoy aquí por ti , tom .",8,7
i screamed .,grité .,3,2
i don t want to drink anything cold .,no quiero beber nada frío .,9,6
i spent all the savings i had on this .,gasté todos mis ahorros en esto .,10,7
is tom there ?,¿ está ahí tom ?,4,5
i think his name is tom .,creo que su nombre es tom .,7,7
why don t you ever want to talk about the past ?,¿ por qué nunca querés hablar del pasado ?,12,9
i ll give you a call when i get home .,te llamaré cuando llegue a casa .,11,7
can you stand up ?,¿ podéis levantaros ?,5,4
they are in class .,ellos están en clase .,5,5
i reserved my hotel room three weeks in advance .,reservé mi habitación en el hotel con tres semanas de antelación .,10,12
that desk does not fit in this room .,ese escritorio no cabe en esta habitación .,9,8
i assume you re angry .,supongo que estás enojado .,6,5
what is happening ?,¿ qué ocurre ?,4,4
we re planting seeds .,estamos plantando semillas .,5,4
what time will the game start ?,¿ a qué hora empezará el partido ?,7,8
this cost me an arm and a leg .,esto me costó un riñón .,9,6
is that what you want ?,¿ eso es lo que queréis ?,6,7
her husband wants to have his own way in everything .,su marido quiere hacerlo todo a su manera .,11,9
tom dropped by mary s home every day for lunch .,tom pasaba cada día a la casa de maría para almorzar .,11,12
they came in .,llegaron .,4,2
they are my sisters .,ellas son mis hermanas .,5,5
i talk a lot .,hablo mucho .,5,3
let s not lose focus .,no nos desconcentremos .,6,4
is this good ?,¿ esto está bien ?,4,5
this ain t normal .,esto no es normal .,5,5
i quit smoking three years ago .,dejé de fumar hace tres años .,7,7
you ll never guess what tom brought with him .,nunca adivinaras lo que tom trajo consigo .,10,8
it goes without saying that money cannot buy happiness .,no hace falta decir que el dinero no puede comprar la felicidad .,10,13
i agree completely .,estoy totalmente de acuerdo .,4,5
i wish we could go back home .,desearía que pudiéramos volver a casa .,8,7
you won t finish today if you just sit there .,no vais a terminar hoy si os quedáis ahí sentados .,11,11
"you didn t happen to catch his name , did you ?","¿ no lograste entender su nombre , no ?",12,9
he is overconfident .,es soberbio .,4,3
tom was falsely accused .,a tom lo acusaron injustamente .,5,6
will there be a cake ?,¿ habrá un pastel ?,6,5
here comes tom . what does he want now ?,aquí viene tom . ¿ qué quiere ahora ?,10,9
i like to travel by myself .,me gusta viajar solo .,7,5
she is interested in music .,está interesada en la música .,6,6
i m never going to allow you to do that again .,nunca te permitiré volver a hacer eso .,12,8
i will be at your house at eight .,estaré en tu casa a las ocho .,9,8
you should get up early .,deberías levantarte pronto .,6,4
i like living here .,me gusta vivir aquí .,5,5
he was looking for a good job .,él estaba buscando un buen trabajo .,8,7
i shouldn t have drunk that last bottle of beer .,no debería haberme bebido la última botella de cerveza .,11,10
"you remember what happened last time , don t you ?","te acuerdas de lo que pasó la última vez , ¿ no ?",11,13
please help yourself to some fruit .,"por favor , sírvase algo de fruta .",7,8
i just want to make it up to you .,solo quiero compensártelo .,10,4
we have to acknowledge that .,tenemos que reconocer eso .,6,5
i m used to it .,estoy acostumbrada .,6,3
he is a teacher rather than a writer .,él es más bien profesor antes que escritor .,9,9
thanks very much .,muchas gracias .,4,3
tom said that he doesn t think that s going to happen .,tom dijo que no pensaba que eso fuera a ocurrir .,13,11
tom and mary hated each other .,tom y mary se odiaban .,7,6
the remote control doesn t have batteries .,el mando no tiene pilas .,8,6
you re better able to do that than i am .,ustedes están más capacitados que yo para hacerlo .,11,9
where did you procure the information ?,¿ dónde conseguiste la información ?,7,6
he is to blame for the failure .,él tiene la culpa del fracaso .,8,7
he died when he was scarcely thirty .,murió cuando tenía apenas treinta años .,8,7
guide dogs help blind people .,los perros guía ayudan a los ciegos .,6,8
you should watch your language when you talk to her .,deberías moderar tu lenguaje cuando hablás con ella .,11,9
i always believe you .,siempre te creo .,5,4
i m going to take a nap .,voy a echarme la siesta .,8,6
you were brave .,fuiste valiente .,4,3
i am as happy as a clam .,soy tan feliz como una lombriz .,8,7
"it s a cliche , but it s true .","es un cliché , pero es verdad .",10,8
i can t see in because the curtains are closed .,no puedo ver adentro por que están echadas las cortinas .,11,11
you ll only be able to buy it there .,solo serás capaz de comprarlo allí .,10,7
"he who fights may lose , but he who doesn t has already lost .","el que lucha puede perder , el que no lucha ya perdió .",15,13
tom can t have gone far .,tom no puede estar lejos aún .,7,7
tell me the story .,cuéntame la historia .,5,4
what s your passport number ?,¿ cuál es tu número de pasaporte ?,6,8
i don t care who wins .,me da igual quién gane .,7,6
all of us got three hundred dollars .,cada uno de nosotros recibió trescientos dólares .,8,8
it s probably my fault .,a lo mejor es mi culpa .,6,7
don t go into the jungle alone .,no os internéis en la jungla solos .,8,8
i want to know how long it ll take .,quiero saber cuánto tiempo va a tomar .,10,8
she emphasized the importance of education .,ella subrayó la importancia de la educación .,7,8
i wonder if i can do that .,me pregunto si puedo hacer eso .,8,7
leave our house .,váyase de nuestra casa .,4,5
you d better consult your doctor .,será mejor que consultes a tu médico .,7,8
you couldn t live without water .,sin agua no podrías vivir .,7,6
tom spent time with mary .,tom pasó tiempo con mary .,6,6
don t talk nonsense !,¡ no digas tonterías !,5,5
we re ready to go .,estamos listos para partir .,6,5
i thought tom would stay overnight in boston .,pensé que tom pasaría la noche en boston .,9,9
can you ski ?,¿ puedes esquiar ?,4,4
he stayed in new york for three weeks .,se quedó en nueva york por tres semanas .,9,9
we need to grab the bull by the horns .,tenemos que coger el toro por los cuernos .,10,9
do you think i m overweight ?,¿ crees que tengo kilos de más ?,7,8
i came to ask tom a favor .,vine a pedirle un favor a tom .,8,8
why do you lie ?,¿ por qué mientes ?,5,5
it s what we deserve .,es lo que merecemos .,6,5
"since it s nice out , i d like to go take a walk .","como hace buen tiempo , tengo ganas de ir a dar un paseo .",15,14
i beg you to help us .,te ruego que nos ayudes .,7,6
he kissed me passionately .,él me besó apasionadamente .,5,5
he got lost while he was walking in the woods .,"caminando por el bosque , se perdió .",11,8
i wonder where tom learned to do that .,me pregunto dónde aprendería tom a hacer eso .,9,9
please pay the tax .,"por favor , paga la contribución .",5,7
i m still looking for tom .,sigo buscando a tom .,7,5
that train stops at every station .,ese tren se detiene en todas las estaciones .,7,9
she smiled and said goodbye .,ella sonrió y dijo adiós .,6,6
"show me a cheaper one , please .","muéstrame uno más barato , por favor .",8,8
it s fine with me .,"por mí , está bien .",6,6
don t be ashamed of yourself .,no te avergüences de ti mismo .,7,7
i wanted to speak to you about this .,quería hablaros de esto .,9,5
i m not easily offended .,no me ofendo fácilmente .,6,5
you can use a dictionary for this exam .,puedes usar un diccionario en este examen .,9,8
tom never remembers my name .,tom nunca se acuerda de mi nombre .,6,8
i think tom doesn t love his wife anymore .,creo que tom ya no ama más a su esposa .,10,11
i haven t even begun .,ni siquiera he empezado .,6,5
it s been a long time since i ve had a real vacation .,hace mucho que no tengo unas vacaciones de verdad .,14,10
"if i were rich , i d give you money .","si yo fuera rico , te daría dinero .",11,9
you are a teacher .,tú eres una profesora .,5,5
tom arrived after midnight .,tomás llegó después de la medianoche .,5,7
my credit card was stolen on the subway .,mi tarjeta de crédito fue robada en el metro .,9,10
a man who smacks his wife around is contemptible .,un hombre que pega a su mujer es deleznable .,10,10
"soon , this will be somebody else s problem .","pronto , este será un problema de alguien más .",10,10
don t make my job harder .,no hagas más difícil mi trabajo .,7,7
"of course , i remember you .","desde luego , me acuerdo de ti .",7,8
please reply in chinese or english .,"por favor , responda en chino o en inglés .",7,10
tom is a hoot .,tom es divertido .,5,4
he grabbed her hand .,él le agarró la mano .,5,6
we ve known each other since we were children .,nos conocemos el uno al otro desde que éramos niños .,10,11
did you take the book back to the library ?,¿ devolviste el libro a la biblioteca ?,10,8
would you like to have another cup of tea ?,¿ quieres tomar otra taza de té ?,10,8
i m scared of dentists .,me dan miedo los dentistas .,6,6
can someone answer the telephone ?,¿ podría alguien contestar el teléfono ?,6,7
i m afraid of dogs .,le tengo miedo a los perros .,6,7
tom plugged in the tv .,tom conectó la televisión .,6,5
do you want to come over ?,¿ quieres venir ?,7,4
you re very lucky .,tienes mucha suerte .,5,4
maybe you d better sit down .,casi será mejor que te sientes .,7,7
tom hasn t been a teacher long .,tom no ha sido profesor por mucho tiempo .,8,9
he s the laziest person i know .,él es la persona más floja que conozco .,8,9
that is the house where he lives .,ésa es la casa donde él vive .,8,8
life is full of mysteries .,la vida tiene muchos secretos .,6,6
tom is getting bored .,tom se está aburriendo .,5,5
tom has never seen a giraffe .,tom nunca ha visto una jirafa .,7,7
be yourself .,sé tú mismo .,3,4
tom ran out of money .,tom se quedó sin dinero .,6,6
the furniture was dusty .,los muebles estaban polvorientos .,5,5
how many apples are there ?,¿ cuántas manzanas hay ?,6,5
she also bought the dictionary .,ella también compró el diccionario .,6,6
do not oversleep tomorrow morning .,no te quedes dormido mañana en la mañana .,6,9
he stayed at a hotel for a couple of days .,él se quedó en el hotel por un par de días .,11,12
tom will cry .,tom llorará .,4,3
i didn t speak with tom .,no hablé con tom .,7,5
he is very fond of music .,a él le gusta mucho la música .,7,8
"louder , please .","más fuerte , por favor .",4,6
you ll stay here tonight .,te quedarás aquí esta noche .,6,6
she is an educated girl .,ella es una niña educada .,6,6
can we go back home ?,¿ podemos volver a casa ?,6,6
do you want to ask me some questions ?,¿ quieres hacerme algunas preguntas ?,9,6
i just can t believe they re getting married .,simplemente no puedo creer que vayan a casarse .,10,9
"she still hated him , even after he died .","aun después de que él muriera , ella lo odiaba .",10,11
children should play outside .,los niños deberían jugar fuera .,5,6
we ll go on a picnic if it s fine tomorrow .,"si mañana hace buen tiempo , iremos de picnic .",12,10
you ruined everything .,arruinaste todo .,4,3
"as a matter of fact , he doesn t agree with me .","en realidad , él no está de acuerdo conmigo .",13,10
this is very strange .,esto es muy extraño .,5,5
who are you waiting for ?,¿ a quién espera ?,6,5
mary put the ham in the oven .,mary metió el jamón en el horno .,8,8
it is a great pleasure being with you .,es un gran placer estar con vosotros .,9,8
i m looking for food .,estoy buscando comida .,6,4
thanks so much .,muchas gracias .,4,3
should i make something up ?,¿ debería preparar algo ?,6,5
i couldn t answer all of the questions .,no podía contestar todas las preguntas .,9,7
i was so nervous i almost threw up .,estaba tan nerviosa que por poco vomité .,9,8
tom doesn t mind what people say about mary .,a tom no le interesa lo que digan de maría .,10,11
they supplied the war victims with food .,ellos proveyeron a las víctimas de la guerra de alimentos .,8,11
the architecture in this part of the city is ugly .,la arquitectura en esta parte de la ciudad es fea .,11,11
the priest participated in the children s game .,el sacerdote participó en el juego de los niños .,9,10
that won t be a problem .,eso no será problema .,7,5
i arrived in london .,llegué a londres .,5,4
tom seemed flustered .,tom parecía nervioso .,4,4
the press confirmed the rumors .,la prensa confirmó los rumores .,6,6
did you understand what he said ?,¿ entendiste lo que dijo ?,7,6
are you interested in art ?,¿ te interesa el arte ?,6,6
how many cookies did you eat ?,¿ cuántas galletas os comisteis ?,7,6
i never had to worry about money .,nunca tuve que preocuparme por el dinero .,8,8
you look better with short hair .,el pelo corto le queda mejor .,7,7
tom had no other choice but to help mary clean out the garage .,tom no tuvo más alternativa que ayudar a mary a limpiar la cochera .,14,14
where are you hiding ?,¿ dónde se están escondiendo ?,5,6
i know when tom was killed .,sé cuándo mataron a tom .,7,6
i wonder why tom didn t show up last night .,me pregunto por qué tom no apareció anoche .,11,9
"come here , the both of you .",vengan aquí los dos .,8,5
that s correct .,es correcto .,4,3
could you tell me what language this is written in ?,¿ sabría decirme en qué idioma está esto escrito ?,11,10
tom asked mary about her new job in boston .,tom le preguntó a mary por su nuevo trabajo en boston .,10,12
i love the sound of children laughing .,adoro el sonido de las risas de los niños .,8,10
i d like to see a doctor .,quisiera ver a un doctor .,8,6
"fortunately , that didn t happen .","afortunadamente , eso no pasó .",7,6
why don t you eat pork ?,¿ por qué no comes cerdo ?,7,7
what has tom done ?,¿ qué ha hecho tom ?,5,6
she told me she knew my brother .,ella me dijo que conocía a mi hermano .,8,9
i like to go to the movies with my friends .,me gusta ir al cine con mis amigos .,11,9
this used to be such a friendly place . tell me about it .,este lugar solía ser tan agradable . hábleme de ello .,14,11
tom couldn t believe what mary said .,tom no se podía creer lo que decía mary .,8,10
how dare you say such a thing !,¿ cómo os atrevéis a decir tal cosa ?,8,9
do you understand what i am saying to you ?,¿ tú entiendes lo que te digo ?,10,8
we d like separate checks .,queremos cuentas separadas .,6,4
tom helps mary .,tom ayuda a mary .,4,5
i hope it went well .,confío en que fuera bien .,6,6
i m so sorry about this .,lamento tantísimo esto .,7,4
we all work together .,trabajamos todos juntos .,5,4
i m aching to go to australia .,me muero por ir a australia .,8,7
why are you all here ?,¿ por qué estáis todos aquí ?,6,7
electrons have a negative electrical charge .,los electrones tienen carga eléctrica negativa .,7,7
did you invite tom to dinner without telling me ?,¿ invitaron a tom a cenar sin decírmelo ?,10,9
you may take either of the books .,puedes coger cualquiera de los libros .,8,7
"you re lost , aren t you ?","te has perdido , ¿ verdad ?",8,7
you aren t stupid .,no eres estúpida .,5,4
you re not one of us .,no sos uno de nosotros .,7,6
i can t imagine life on another planet .,no puedo imaginarme la vida en otro planeta .,9,9
tom didn t reply .,tom no respondió .,5,4
i thought that i heard tom s voice .,creí oír la voz de tom .,9,7
i know your brother very well .,yo conozco muy bien a tu hermano .,7,8
tom bought a new camera last month .,tom compró una cámara nueva el mes pasado .,8,9
he lost his way in the snow .,él se perdió en medio de la nieve .,8,9
she couldn t convince him to accept a personal check .,no lo pudo convencer de que aceptara un cheque personal .,11,11
her bed is next to the wall .,su cama está junto a la pared .,8,8
i missed you .,te extrañé .,4,3
"since i had a slight fever , i stayed in bed .","como tenía un poco de fiebre , me quedé en la cama .",12,13
don t start getting paranoid .,no empiecen a emparanoiarse .,6,5
tom watched mary draw a picture .,tom observó a mary hacer un dibujo .,7,8
i came to japan last year .,el año pasado vine a japón .,7,7
pack your bags .,hagan sus maletas .,4,4
you re clever .,son listos .,4,3
who runs things here ?,¿ quién dirige las cosas aquí ?,5,7
he loves to gossip .,le gustan los chismes .,5,5
he advocates a revision of the rules .,él promueve una revisión de las reglas .,8,8
the british ambassador liked burr s plan .,al embajador británico le gusto el plan de burr .,8,10
i ll wait here until they come back .,esperaré aquí a que vuelvan .,9,6
i m afraid tom will get lost .,tengo miedo de que tom se pierda .,8,8
what a novel idea !,¡ qué idea tan original !,5,6
this machine is easy to handle .,esta máquina es fácil de manejar .,7,7
when was the last time you watched a movie ?,¿ cuándo fue la última vez que viste una película ?,10,11
we must clean up the kitchen .,tenemos que limpiar la cocina .,7,6
the man tried to install his own antenna .,el hombre trató de instalar su propia antena .,9,9
this watch costs around fifty thousand yen .,este reloj cuesta alrededor de cincuenta mil yenes .,8,9
tom didn t believe that mary really wanted to do that .,tom no creía que mary realmente quisiera hacer eso .,12,10
i have to give back the book before saturday .,tengo que devolver el libro antes del sábado .,10,9
he is older than she is by three years .,él tiene tres años más que ella .,10,8
i have breakfast at seven every morning .,desayuno a las siete todas las mañanas .,8,8
"that doesn t work , does it ?","eso no funciona , ¿ verdad ?",8,7
he loves us .,él nos quiere .,4,4
the cancer had spread to several organs .,el cáncer se había extendido a varios órganos .,8,9
he burst into tears .,él rompió a llorar .,5,5
tom filled his plate with food .,tom llenó su plato con comida .,7,7
don t approach the dog .,no se acerque al perro .,6,6
it s not broken .,no está roto .,5,4
i will give you a call as soon as i get home .,te llamaré en cuanto llegue a casa .,13,8
the week is over .,la semana terminó .,5,4
what convinced you tom wasn t guilty ?,¿ qué te convenció de que tom no era culpable ?,8,11
tom has to speak french at work .,tom tiene que hablar en francés en el trabajo .,8,10
i just got your message .,acabo de recibir tu mensaje .,6,6
i was born on the twenty second of june in 1974 .,nací el veintidós de junio de 1974 .,12,8
i wasn t sure you d be happy to see me .,no estaba seguro de que estarías feliz de verme .,12,10
it s obvious that she s sick .,obvio que ella está enferma .,8,6
don t die .,no se mueran .,4,4
"these cookies aren t expensive , but they taste good .","estas galletas no son caras , pero saben rico .",11,10
paris is one of the cities i visited last year .,parís es una de las ciudades que visité el año pasado .,11,12
it s different for everyone .,es diferente para todas .,6,5
my sister has become a good pianist .,mi hermana se convirtió en una gran pianista .,8,9
tom says he doesn t want to study french .,tom dice que no quiere estudiar francés .,10,8
does she play the piano ?,¿ toca el piano ?,6,5
you don t have to come if you don t want to .,no es necesario que vengas si no quieres .,13,9
tom can probably pull some strings for you and get you into that school .,tom puede probablemente usar algunas influencias para ti y meterte en esa escuela .,15,14
she refused his proposal .,ella declinó su propuesta .,5,5
the shotgun went off .,el rifle se disparó .,5,5
tom almost got hit by the ball .,tom casi fué golpeado por el balón .,8,8
he wants to work in a factory .,él quiere trabajar en una fábrica .,8,7
tom is odd .,tom es raro .,4,4
i don t want any more .,ya no quiero más .,7,5
there s something important i need to tell you .,hay algo importante que necesito decirte .,10,7
tom said that he was completely baffled .,tom dijo que él estaba completamente confuso .,8,8
i looked for the key .,yo buscaba la llave .,6,5
we do know what to expect .,sabemos qué esperar .,7,4
tom wouldn t eat .,tom no comería .,5,4
his skill qualifies him for the job .,su capacidad lo califica para el trabajo .,8,8
tom didn t have an accomplice .,tom no tenía un cómplice .,7,6
they helped tom .,ellas ayudaron a tom .,4,5
tom is around thirty .,tom tiene alrededor de treinta años .,5,7
tom is upstairs in his bedroom .,"tom está arriba , en su habitación .",7,8
why are you so worried ?,¿ por qué están tan preocupadas ?,6,7
something has to be done .,hay que hacer algo .,6,5
i wish you had been there .,desearía que hubieras estado ahí .,7,6
they all congratulated tom .,todos felicitaron a tom .,5,5
tom never hurt mary .,tom nunca hirió a mary .,5,6
you re not the only canadian here .,tú no eres el único canadiense aquí .,8,8
you don t have to go to school anymore .,ya no tienes que ir a la escuela .,10,9
i see what you re doing .,veo lo que estás haciendo .,7,6
do men and women think differently ?,¿ existen diferencias en la manera de pensar de hombres y mujeres ?,7,13
i want to hear your voice .,quiero escuchar tu voz .,7,5
i plowed as much as i could .,aré lo que pude .,8,5
he is an eager beaver .,él es un trabajador entusiasta .,6,6
"as long as you keep quiet , you can stay here .",puedes quedarte aquí siempre que te quedes callado .,12,9
she passed away peacefully in her sleep .,ella falleció tranquilamente mientras dormía .,8,6
tom will find me .,tom me encontrará .,5,4
the old lady climbed the stairs with difficulty .,la anciana subió las escaleras con dificultad .,9,8
please circle the words that are misspelled .,"por favor , rodea las palabras que están mal escritas .",8,11
you don t need to reinvent the wheel .,no necesitas reinventar la rueda .,9,6
fighting won t settle anything .,pelear no resolverá nada .,6,5
we were a little tired .,estábamos un poco cansados .,6,5
none of the candidates got a majority of the votes .,ninguno de los candidatos obtuvo la mayoría de los votos .,11,11
read it again .,léelo de nuevo .,4,4
i want you to come alone .,quiero que vengáis solos .,7,5
there are lots of things i want to talk about .,tengo muchas cosas de las que quiero hablar .,11,9
"clearly , i make you uncomfortable .",está claro que le hago sentir incómodo .,7,8
mary seems to be bored with the game .,parece que a mary le aburre el juego .,9,9
my savings will soon run out .,pronto me quedaré sin ahorros .,7,6
i bought a new television .,he comprado una televisión nueva .,6,6
i will see him after i get back .,lo veré después de que regrese .,9,7
i m busy looking for an apartment .,estoy ocupado buscando piso .,8,5
is there a pharmacy nearby ?,¿ hay una farmacia cerca ?,6,6
we must start at the beginning .,tenemos que empezar por el principio .,7,7
my aunt lived a happy life .,mi tía llevó una vida feliz .,7,7
this one doesn t fit .,ésta no cabe .,6,4
only a few people showed up on time .,sólo unas pocas personas se presentaron a tiempo .,9,9
i had a good time at the party .,me lo pasé bien en la fiesta .,9,8
she s teaching us french .,ella nos está enseñando francés .,6,6
tom turned on the tv .,tom encendió el televisor .,6,5
would you like me to braid your hair ?,¿ te gustaría que yo trence tu cabello ?,9,9
tom doesn t know that i m canadian .,tom no sabe que yo soy canadiense .,9,8
this is stunning news .,esto son imponentes noticias .,5,5
i strongly believe that human imagination is limitless .,creo sinceramente que la imaginación humana no tiene límites .,9,10
we could go together .,podríamos ir juntos .,5,4
she makes excellent meals in the blink of an eye .,ella prepara exquisitos platos en un abrir y cerrar de ojos .,11,12
i know what not to eat .,sé qué no comer .,7,5
i found it difficult to make myself understood .,me costó hacerme entender .,9,5
tom yelled at mary .,tom gritó a mary .,5,5
you ll never be alone .,nunca estaréis solas .,6,4
find out what hotel they re living at .,entérese del hotel en que viven .,9,7
tom doesn t care what other people say about him .,a tom no le importa lo que la gente diga de él .,11,13
where did you buy that book ?,¿ dónde compraste este libro ?,7,6
tom was hoping to win the first prize .,tom esperaba ganar el primer premio .,9,7
how much should i pay ?,¿ cuánto debería pagar ?,6,5
i ve fixed it .,lo he reparado .,5,4
i ve already eaten half the ham .,ya me he comido la mitad del jamón .,8,9
this book is too expensive for me .,este libro es demasiado caro para mí .,8,8
none of the cars are mine .,ninguno de los autos es mío .,7,7
i believe you know what i mean .,creo que sabes a qué me refiero .,8,8
"at last , they met face to face .","al fin , ellos se encontraron cara a cara .",9,10
you re nuts !,¡ estás loco !,4,4
get ready .,preparaos .,3,2
i don t know what you re saying .,no sé qué estás diciendo .,9,6
"i can t read french , let alone speak it .","no puedo leer en francés , mucho menos hablar .",11,10
there s too much noise in the hospital .,hay demasiado ruido en el hospital .,9,7
do you have any japanese beer ?,¿ tienes alguna cerveza japonesa ?,7,6
you ve missed an important clue .,has pasado por alto una pista importante .,7,8
a year has 12 months .,un año tiene 12 meses .,6,6
give him a break !,¡ dejadle un poco en paz !,5,7
our climb will be steep .,nuestra escalada será difícil .,6,5
are you looking ?,¿ estáis mirando ?,4,4
please don t shoot .,"no dispares , por favor .",5,6
in autumn the leaves turn yellow .,en otoño las hojas se vuelven amarillas .,7,8
she was wearing an ugly dress .,llevaba puesto un vestido feo .,7,6
tom is under suspicion .,tom está bajo sospecha .,5,5
i stayed home for a week .,me quedé en casa por una semana .,7,8
we gained access to the house through the window .,obtuvimos acceso a la casa a través de la ventana .,10,11
"if you betray us , we ll kill you .","si nos traicionas , te matamos .",10,7
you are my pride and joy .,eres mi orgullo y alegría .,7,6
we are looking forward to seeing you .,tengo ganas de que llegue el día de poder verte .,8,11
he did not intend to hurt your feelings .,él no quería herir tus sentimientos .,9,7
please come and see me if you have time .,por favor ven a verme cuando tengas tiempo .,10,9
he ran outside naked .,él salió corriendo desnudo .,5,5
"tom eats , sleeps and breathes music .","tom come , duerme , y respira música .",8,9
it s tom s job .,es la tarea de tom .,6,6
i miss you . i need to see you . could i come over ?,te extraño . necesito verte . ¿ puedo pasar a visitarte ?,15,12
i have no further questions .,no tengo más preguntas .,6,5
tom locked himself out of his room .,tom se quedó encerrado fuera de su pieza .,8,9
have tom call me .,haz que me llame tom .,5,6
the truth will come out .,la verdad saldrá a la luz .,6,7
that rope has to be coiled .,hay que arrollar esa cuerda .,7,6
